bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
True,0,0,0,,334,334,bqf,baga1271,{},9.951,language,-12.887,,Baga Kaloum,'Baga Kaloum [baga1271][bqf]-l-':1,1226,extinct
False,1,0,0,,69,2111,bsp,baga1272,{},10.4793,language,-14.4756,,Baga Sitemu,('Marara [mara1388]':1)'Baga Sitemu [baga1272][bsp]-l-':1,3758,definitely endangered
False,0,0,0,,69,2111,bgo,baga1273,{},10.1286,language,-13.947,,Baga Koga,'Baga Koga [baga1273][bgo]-l-':1,3757,definitely endangered
True,0,0,0,,334,334,bsv,baga1274,{},9.98865,language,-13.9054,,Baga Sobané,'Baga Sobané [baga1274][bsv]-l-':1,1335,extinct
False,0,0,0,,69,2103,bcg,baga1275,{},10.5271,language,-14.6111,,Baga Mboteni-Binari,'Baga Mboteni-Binari [baga1275][bcg]-l-':1,3739,definitely endangered
True,0,0,0,,334,334,bgm,baga1276,{},12.27246,language,-12.07358,,Baga Mboteni,'Baga Mboteni [baga1276][bgm]-l-':1,1164,definitely endangered
False,6,0,0,,179,8742,bfy,bagh1251,{},24.6837,language,87.4994,,Bagheli,"('Banapari [bana1282]':1,'Gahore [gaho1238]':1,'Godwani [godw1242]':1,'Ojhi [ojhi1238]':1,'Sonpari [sonp1238]':1,'Tirhari [tirh1246]':1)'Bagheli [bagh1251][bfy]-l-':1",11610,safe
False,0,0,0,,69,8053,fui,bagi1244,{},8.81656,language,18.3467,,Bagirmi Fulfulde,'Bagirmi Fulfulde [bagi1244][fui]-l-':1,10692,safe
False,4,0,0,,211,9374,bmi,bagi1246,{},11.52392,language,14.769495,,Bagirmi,"('Bangri [bang1360]':1,'Dam [damm1238]':1,'Gol [goll1238]':1,'Kibar [kiba1246]':1)'Bagirmi [bagi1246][bmi]-l-':1",12464,safe
False,2,0,0,,69,19921,bqg,bago1245,{},8.52697,language,1.41214,,Bago-Kusuntu,"('Bago [bago1246]':1,'Kusuntu [kusu1251]':1)'Bago-Kusuntu [bago1245][bqg]-l-':1",21329,definitely endangered
False,0,0,0,,179,14280,bgq,bagr1243,{},28.6036,language,71.453,,Bagri,'Bagri [bagr1243][bgq]-l-':1,16781,safe
False,0,0,0,,409,409,NOCODE_Bagua,bagu1249,{},,language,,,Bagua,'Bagua [bagu1249]-l-':1,1711,safe
False,0,0,0,,202,2645,bqb,bagu1251,{},-1.98844,language,137.914,,Bagusa,'Bagusa [bagu1251][bqb]-l-':1,4294,safe
False,0,0,0,,145,8415,bpi,bagu1252,{},-5.07778,language,145.632,,Bagupi,'Bagupi [bagu1252][bpi]-l-':1,11247,definitely endangered
False,1,0,0,,36,5347,kva,bagv1239,{},42.3966,language,46.1041,,Bagvalal,('Tlisi [tlis1238]':1)'Bagvalal [bagv1239][kva]-l-':1,7757,definitely endangered
False,0,0,0,,115,3873,yha,baha1256,{},23.0105,language,104.449,,Baha Buyang,'Baha Buyang [baha1256][yha]-l-':1,5794,severely endangered
False,0,0,0,,207,9131,bhv,baha1257,{},0.30801,language,115.332,,Bahau,'Bahau [baha1257][bhv]-l-':1,12155,safe
False,0,0,0,,112,607,bdw,baha1258,{},-3.10628,language,132.637,,Baham,'Baham [baha1258][bdw]-l-':1,2214,vulnerable
False,0,0,0,,186,11964,abv,baha1259,{},26.223615,language,50.580811,,Baharna Arabic,'Baharna Arabic [baha1259][abv]-l-':1,14787,safe
False,0,0,0,,179,24151,bah,baha1260,{},25.032149,language,-77.390587,,Bahamas Creole English,'Bahamas Creole English [baha1260][bah]-l-':1,24257,safe
True,0,0,0,,334,334,bwv,baha1262,{},,language,,,Bahau River Kenyah,'Bahau River Kenyah [baha1262][bwv]-l-':1,1168,safe
False,5,0,0,,336,10049,bhj,bahi1252,{},27.3323,language,86.3949,,Bahing,"('Banenge [bane1244]':1,'Dobo Lo [dobo1243]':1,'Namber Sacha [namb1290]':1,'Proca Lo [proc1238]':1,'Rokhung [rokh1238]':1)'Bahing [bahi1252][bhj]-l-':1",13005,critically endangered
False,0,0,0,,333,4869,bjh,bahi1254,{},-4.55527,language,142.832,,Bahinemo,'Bahinemo [bahi1254][bjh]-l-':1,7091,vulnerable
False,7,0,0,,68,5530,bdq,bahn1262,{},14.0476,language,108.471,,Bahnar,"('Alakong [alak1252]':1,'Bahnar Bonom [bahn1263]':1,'Golar {Austroasiatic} [gola1254]':1,'Jolong [jolo1240]':1,'Kontum [kont1244]':1,'Krem [krem1240]':1,'Tolo [tolo1253]':1)'Bahnar [bahn1262][bdq]-l-':1",7925,safe
False,0,0,0,,207,14817,bsu,baho1237,{},-2.22572,language,121.707,,Bahonsuai,'Bahonsuai [baho1237][bsu]-l-':1,17227,definitely endangered
False,0,0,0,,413,413,bbf,baib1251,{},-3.42672,language,141.345,,Baibai,'Baibai [baib1251][bbf]-l-':1,1815,definitely endangered
False,0,0,0,,69,18209,bdj,baii1251,{},7.57221,language,26.48246,,Bai,'Bai [baii1251][bdj]-l-':1,19937,definitely endangered
False,3,0,0,,207,12311,bkx,baik1238,{},-9.32991,language,124.256,,Baikeno,"('Kais Metan [kais1241]':1,'Tai Boko [taib1241]':1,'Uis Tasae [uist1237]':1)'Baikeno [baik1238][bkx]-l-':1",15121,vulnerable
False,3,0,0,,336,12838,bqh,baim1244,{},33.1001,language,103.952,,Baima,"('Northern Baima [nort2706]':1,'Southern Baima [sout2713]':1,'Western Baima [west2412]':1)'Baima [baim1244][bqh]-l-':1",15592,definitely endangered
False,0,0,0,,145,8414,bmx,baim1245,{},-5.18943,language,145.606,,Baimak,'Baimak [baim1245][bmx]-l-':1,11240,safe
False,0,0,0,,145,3911,NOCODE_Bai-Maclay,baim1246,{},,language,,,Bai-Maclay,'Bai-Maclay [baim1246]-l-':1,5837,extinct
False,0,0,0,,69,5586,bab,bain1259,{},12.3128,language,-16.0586,,Bainounk-Gujaher,'Bainounk-Gujaher [bain1259][bab]-l-':1,8021,vulnerable
True,0,0,0,,334,334,bcb,bain1260,{},12.5053,language,-15.9969,,Bainouk-Samik,'Bainouk-Samik [bain1260][bcb]-l-':1,1432,definitely endangered
False,2,0,0,,69,5586,bcz,bain1261,{},12.8672,language,-16.229,,Bainouk-Gunyaamolo-Gutobor,"('Gujaaxet [guja1254]':1,'Gunyamoolo [guny1242]':1)'Bainouk-Gunyaamolo-Gutobor [bain1261][bcz]-l-':1",8023,definitely endangered
False,0,0,0,,69,3783,fah,bais1242,{},7.38023,language,10.7684,,Baissa Fali,'Baissa Fali [bais1242][fah]-l-':1,5680,critically endangered
False,0,0,0,,186,17087,bsw,bais1246,{},6.44892,language,37.7681,,Baiso,'Baiso [bais1246][bsw]-l-':1,19096,definitely endangered
False,0,0,0,,179,23968,bjs,baja1265,{},13.1365,language,-59.5346,,Bajan,'Bajan [baja1265][bjs]-l-':1,24147,safe
False,0,0,0,,179,16897,bjm,baje1238,{},33.9498,language,42.9867,,Bajelani,'Bajelani [baje1238][bjm]-l-':1,19048,vulnerable
False,0,0,0,,69,19933,bkc,baka1272,{},2.16013,language,13.7804,,Baka (Cameroon),'Baka {Cameroon} [baka1272][bkc]-l-':1,21346,vulnerable
False,6,0,0,,69,21464,bqz,baka1273,{},4.79991,language,9.80402,,Bakaka,"('Babong [babo1241]':1,'Bafun [bafu1245]':1,'Balondo [balo1262]':1,'Baneka [bane1245]':1,'Manehas [mane1262]':1,'Nuclear Bakaka [nucl1402]':1)'Bakaka [baka1273][bqz]-l-':1",22502,vulnerable
False,0,0,0,,211,2703,bdh,baka1274,{},4.65943,language,29.59,,Baka (Sudan),'Baka {Sudan} [baka1274][bdh]-l-':1,4413,safe
False,0,0,0,,309,1070,bkq,baka1277,{},-14.2628,language,-54.7034,,Bakairí,'Bakairí [baka1277][bkq]-l-':1,2993,definitely endangered
False,4,0,0,,179,14528,bqi,bakh1245,{},32.0163,language,49.7713,,Bakhtiari,"('Charlang [char1266]':1,'Chelgerd [chel1241]':1,'Haft-Lang [haft1238]':1,'Kuhrang [kuhr1238]':1)'Bakhtiari [bakh1245][bqi]-l-':1",16878,safe
False,0,0,0,,207,19481,bki,baki1244,{},-16.7096,language,168.165,,Baki,'Baki [baki1244][bki]-l-':1,21056,definitely endangered
False,7,0,0,,69,16329,bkh,bako1249,{},3.56518,language,9.99905,,Bakoko,"('Adie [adie1238]':1,'Bisoo [biso1242]':1,'Mbang [mban1266]':1,'Yabyang [yaby1238]':1,'Yakalak [yaka1273]':1,'Yapoma [yapo1244]':1,'Yassuku [yass1240]':1)'Bakoko [bako1249][bkh]-l-':1",18375,safe
False,0,0,0,,69,18381,kme,bako1250,{},4.43654,language,8.97387,,Bakole,'Bakole [bako1250][kme]-l-':1,20097,definitely endangered
False,0,0,0,,69,8240,bbs,bakp1238,{},5.26756,language,8.26321,,Bakpinka,'Bakpinka [bakp1238][bbs]-l-':1,11006,definitely endangered
False,2,0,0,,207,6378,bkr,baku1263,{},-1.98842,language,114.77,,Bakumpai,"('Mengkatip [meng1268]':1,'Nuclear Bakumpai [nucl1555]':1)'Bakumpai [baku1263][bkr]-l-':1",9087,safe
True,0,0,0,,334,334,boc,baku1265,{},,language,,,Bakung Kenyah,'Bakung Kenyah [baku1265][boc]-l-':1,1201,safe
False,5,0,0,,69,5627,bjw,bakw1243,{},5.23123,language,-6.51077,,Bakwé,"('Dafa [dafa1242]':1,'Defa [defa1250]':1,'Deple [depl1238]':1,'Nigagba [niga1242]':1,'Nyinagbi [nyin1249]':1)'Bakwé [bakw1243][bjw]-l-':1",8090,safe
False,4,0,0,,69,5606,ble,bala1301,{},11.8203,language,-15.3221,,Balanta-Kentohe,"('Fora [fora1244]':1,'Kantohe [kant1248]':1,'Mane [mane1239]':1,'Naga {Balanta} [naga1400]':1)'Balanta-Kentohe [bala1301][ble]-l-':1",8071,safe
False,2,0,0,,69,5606,bjt,bala1302,{},12.5382,language,-15.6658,,Balanta-Ganja,"('Fganja [fgan1238]':1,'Fjaalib [fjaa1238]':1)'Balanta-Ganja [bala1302][bjt]-l-':1",8070,safe
True,0,0,0,,334,334,blg,bala1306,{},1.33476,language,110.913,,Balau,'Balau [bala1306][blg]-l-':1,1520,vulnerable
False,0,0,0,,207,15076,blw,bala1310,{},17.0994,language,121.272,,Balangao,'Balangao [bala1310][blw]-l-':1,17491,safe
