bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,207,9138,pwm,molb1237,{},7.956663,language,117.030502,,Molbog,'Molbog [molb1237][pwm]-l-':1,12159,safe
False,0,0,0,,207,9150,mtw,maga1264,{},9.49196,language,122.769,,Southern Binukidnon,'Southern Binukidnon [maga1264][mtw]-l-':1,12179,safe
False,0,0,0,,207,9150,kyn,karo1299,{},9.992,language,122.816,,Northern Binukidnon,'Northern Binukidnon [karo1299][kyn]-l-':1,12180,safe
False,3,0,0,,207,9152,rol,romb1245,{},12.4047,language,122.56,,Romblomanon,"('Basiq [basi1248]':1,'Romblon [romb1246]':1,'Sibuyan [sibu1251]':1)'Romblomanon [romb1245][rol]-l-':1",12187,safe
False,0,0,0,,207,9153,atm,ataa1240,{},9.715,language,122.9,,Ata,'Ata [ataa1240][atm]-l-':1,12189,critically endangered
False,4,0,0,,207,9154,loc,inon1237,{},12.284,language,122.03,,Inonhan,"('Alcantaranon [alca1237]':1,'Bulalakaw [bula1256]':1,'Dispoholnon [disp1238]':1,'Looknon [look1237]':1)'Inonhan [inon1237][loc]-l-':1",12191,safe
False,0,0,0,,207,9158,mry,kara1489,{},7.50481,language,126.409,,Mandaya,'Mandaya [kara1489][mry]-l-':1,12196,safe
False,0,0,0,,207,9158,msk,mans1262,{},6.79221,language,126.181,,Mansaka,'Mansaka [mans1262][msk]-l-':1,12197,vulnerable
False,0,0,0,,207,9160,klg,taga1268,{},6.45338,language,125.426,,Tagakaulu Kalagan,'Tagakaulu Kalagan [taga1268][klg]-l-':1,12198,safe
False,0,0,0,,207,9161,agz,mtir1235,{},13.4566,language,123.463,,Mt. Iriga Agta,'Mt. Iriga Agta [mtir1235][agz]-l-':1,12200,vulnerable
False,0,0,0,,207,9161,agk,isar1235,{},13.651,language,123.332,,Isarog Agta,'Isarog Agta [isar1235][agk]-l-':1,12201,critically endangered
False,0,0,0,,207,9161,atl,mtir1236,{},13.4588,language,123.552,,Mt. Iraya Agta,'Mt. Iraya Agta [mtir1236][atl]-l-':1,12202,critically endangered
False,5,0,0,,207,9163,bhk,alba1269,{},13.1989,language,123.49,,Inland-Buhi-Daraga Bikol,"('Buhi [buhi1243][ubl]':1,'Daraga [dara1251]':1,'Libon [libo1242][lbl]':1,'Ligao [liga1237]':1,'Oas [oass1237]':1)'Inland-Buhi-Daraga Bikol [alba1269][bhk]-l-':1",12203,safe
False,0,0,0,,207,9163,bto,irig1242,{},13.3896,language,123.331,,Iriga Bicolano,'Iriga Bicolano [irig1242][bto]-l-':1,12204,safe
False,2,0,0,,207,9164,bcl,cent2087,{},13.7574,language,123.403,,Coastal-Naga Bikol,"('Legaspi [lega1251]':1,'Naga {Bikolano} [naga1402]':1)'Coastal-Naga Bikol [cent2087][bcl]-l-':1",12205,safe
False,0,0,0,,207,9164,bln,sout2912,{},13.6989,language,124.29,,Coastal-Virac Bikol,'Coastal-Virac Bikol [sout2912][bln]-l-':1,12206,safe
False,0,0,0,,207,9165,fil,fili1244,{},12.265,language,123.464,,Filipino,'Filipino [fili1244][fil]-l-':1,12207,safe
