ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
2096,Bikaru,Papua New Guinea,PNG,bic,Severely endangered
1398,Bikya,Cameroon,CMR,byb,Critically endangered
2097,Bilakura,Papua New Guinea,PNG,bql,Critically endangered
2661,Bina,Papua New Guinea,PNG,bmn,Extinct
53,Birgid,Sudan,SDN,brk,Extinct
1214,Birhor,India,IND,biy,Critically endangered
51,Birri,Central African Republic,CAF,bvq,Critically endangered
1568,Bishnupriya Manipuri Creole,"Bangladesh, India","BGD, IND",bpy,Vulnerable
1399,Bishuo,Cameroon,CMR,bwh,Critically endangered
517,Bisu,"Myanmar, Thailand","MMR, THA",bzi,Definitely endangered
2628,Blablanga,Solomon Islands,SLB,blp,Definitely endangered
965,Black Mountain,Bhutan,BTN,ole,Definitely endangered
1244,Blackfoot (Canada),Canada,CAN,bla,Definitely endangered
1453,Blackfoot (United States of America),United States of America,USA,bla,Definitely endangered
2277,Boano,Indonesia,IDN,bzl,Vulnerable
1229,Bodo,India,IND,brx,Vulnerable
64,Boguru,"Democratic Republic of the Congo, Sudan","ZAI, SDN",bqu,Critically endangered
1612,Bohtan Neo-Aramaic,"Georgia, Russian Federation","GEO, RUS",bhn,Severely endangered
983,Bokar,"China, India","CHN, IND",adi,Vulnerable
2441,Bola,China,CHN,bxd,Definitely endangered
127,Bolo,Angola,ANG,blv,Definitely endangered
1315,Bom,Sierra Leone,SLE,bmf,Severely endangered
1425,Bonan,China,CHN,peh,Definitely endangered
2521,Bonerif,Indonesia,IDN,bnv,Critically endangered
95,Bong'om,Kenya,KEN,spy,Definitely endangered
2522,Bonggo,Indonesia,IDN,bpg,Severely endangered
55,Bongo,Sudan,SDN,bot,Definitely endangered
99,Boni,Kenya,KEN,bob,Definitely endangered
1664,Bonjo,Congo,COG,bok,Severely endangered
1638,Boor,Chad,TCD,bvf,Critically endangered
736,Bora,"Colombia, Peru","COL, PER",boa,Vulnerable
984,Bori,"China, India","CHN, IND",adi,Definitely endangered
1680,Boro,,,bwo,Definitely endangered
17,Boro,"Ethiopia, Togo","ETH, TGO",,Extinct
1805,Bororo,Brazil,BRA,bor,Definitely endangered
1873,Boruca,Costa Rica,CRI,,Critically endangered
2662,Bosilewa,Papua New Guinea,PNG,bwf,Vulnerable
2663,Bothar,Papua New Guinea,PNG,bow,Severely endangered
1044,Botlikh,Russian Federation,RUS,bph,Definitely endangered
2485,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",brh,Vulnerable
2465,Brao,"Cambodia, Lao People's Democratic Republic, Viet Nam","KHM, LAO, VNM",,Severely endangered
336,Breton,France,FRA,bre,Severely endangered
1871,Bribri (Costa Rica),Costa Rica,CRI,bzd,Vulnerable
1903,Bribri (Panama),Panama,PAN,bzd,Severely endangered
592,Brokkat,Bhutan,BTN,bro,Definitely endangered
444,Brokpa,Bhutan,BTN,sgt,Definitely endangered
2484,Brokshat,India,IND,bkk,Definitely endangered
1990,Bru,Thailand,THA,brv,Definitely endangered
1418,Bubia,Cameroon,CMR,bbx,Severely endangered
